Model,Val Accuracy,Test Accuracy,Val ROC-AUC,Test ROC-AUC
Random Forest,0.978,0.9766666666666667,0.9981084444444445,0.9980515555555557
XGBoost,0.9906666666666667,0.9866666666666667,0.9992106666666667,0.9986986666666666
SVM,0.974,0.976,0.9968551111111111,0.9959004444444445
Ensemble,0.9893333333333333,0.9853333333333333,0.9993973333333334,0.9988551111111111
